year,command,count
2019,line,2
2019,error,2
2019,estimates:drop,2
2019,PrepNHTSVars,2
2019,georoute,2
2019,InsertRawNutrientScore,2
2019,InsertRawHEI,2
2019,coefplot,2
2019,main_columns_age,2
2019,unique,2
2019,stacked_reg,2
2019,mat2txt,2
2019,parmest,2
2016,pup_pop,2
2016,pwcorr,2
2017,eret,2
2017,frmttable,2
2017,gini_by,2
2017,tobit,2
2017,graph_params,2
2017,drawnorm,2
2017,graph_param_default,2
2017,graph_param_changes,2
2017,get_trans_graph_defaults,2
2017,prepare_moments,2
2017,make_individual_dot_plot,2
2017,prepare_vary_param,2
2017,vary_param,2
2017,prepare_graph_vars,2
2017,graph_vars,2
2017,cr_fig3_data,2
2017,average_coefficients,2
2017,twfe,2
2017,reg2hdfe,2
2017,rcof,2
2017,TrimConsAndBase,2
2017,fixed_cgmreg,2
2017,w,2
2017,findfile,2
2017,void,2
2017,y,2
2017,asd,2
2017,tic,2
2017,toc,2
2017,UseFile,2
2017,RunMany,2
2017,myreg,2
2017,tolower,2
2017,regs,2
2017,rowtitles,2
2017,estat,2
2017,getmata,2
2017,line,2
2017,estout,2
2017,rm,2
2017,year_create,2
2018,mvdecode,1
2018,marksample,1
2018,bootstrap:rdquad,1
2018,bootstrap:rdquadfe,1
2018,bootstrap:RDfan,1
2018,checkmfx3,1
2018,checkmfx2,1
2018,shell,1
2018,ocal,1
2018,fastxtile,1
2018,fsearch,1
2018,summarystats,1
2018,gzipfile,1
2018,gunzipfile,1
2018,K,1
2018,S,1
2018,vdyn,1
2018,vfpp,1
2018,fpi0,1
2018,BIAS,1
2018,st_addobs,1
2018,dfp1mt,1
2018,parse,1
2018,iis,1
2018,popd,1
2018,fvset,1
2018,unset,1
2018,STOP,1
2018,xtitle,1
2018,environment_vars,1
2018,xlab,1
2018,corrmat,1
2018,mapWwtf,1
2018,mapMonitors,1
2018,graphTrends,1
2018,graphImpact,1
2018,graphHousing,1
2018,tableTrends,1
2018,tableImpact,1
2018,tableCosteff,1
2018,tablePassthru,1
2018,tableHousing,1
2018,tableCB,1
2018,l,1
2018,resHousing,1
2018,main,1
2018,comb_log,1
2018,xpose,1
2018,ebalance,1
2018,_rmcollright,1
2018,hdfe,1
2018,fillin,1
2018,copy,1
2018,ipolate,1
2018,de,1
2018,split,1
2018,tsfill,1
2018,carryforward,1
2018,distplot,1
2018,margins,1
2019,lowess,1
2019,estimates:sto,1
2019,mergemm,1
2019,d,1
2019,gen_ruc_memspec_old,1
2019,label_missing,1
2019,label_combo_loop,1
2019,centile,1
2019,mkdir,1
