journal,command,n
jop,tempfile,20
jop,xtivreg2,19
jop,outreg,19
jop,uci,18
jop,svyset,18
jop,order,18
jop,polychoric,17
jop,table,17
jop,encode,16
jop,psmatch2,16
jop,xtlogit,16
jop,outsheet,16
jop,version,15
jop,tw,15
jop,rinf,14
jop,matlist,14
jop,meprobit,14
jop,break,13
jop,import,13
jop,recode01,13
jop,parmest,13
jop,rotate,12
jop,eivreg,12
jop,rdbwselect,12
jop,sem,12
jop,parmby,12
jop,nlcom,12
jop,lpoly,11
jop,ivreg2,11
jop,do,11
jop,eclplot,11
jop,oneway,11
jop,chist,11
jop,ci,10
jop,tobit,10
jop,mixlogit,10
jop,mkmat,10
jop,ranksum,10
jop,lgraph,10
jop,irt,9
jop,ivprobit,9
jop,quietly,9
jop,window,9
jop,split,8
jop,grc1leg,8
jop,xtile,8
jop,svy:probit,8
jop,syntax,8
jop,while,8
jop,mim,8
jop,marginsextract,8
jop,gsort,8
jop,matmap,8
jop,mi,8
jop,total,8
jop,prop,8
jop,listtex,8
jop,testparm,7
jop,browse,7
jop,dfuller,7
jop,line,7
jop,rand,7
jop,coalmemb,7
jop,insheet,7
jop,tempvar,7
jop,tostring,7
jop,post,7
jop,matexp,7
jop,gologit2,7
jop,xtmixed,7
jop,polychoricpca,6
jop,sdtest,6
jop,wntestq,6
jop,dprobit,6
jop,b,6
jop,title,6
jop,year8,6
jop,year22,6
jop,_spline2ab,6
jop,ice,6
jop,gprep,6
jop,psacalc,6
jop,meoprobit,6
jop,xtabond2,6
jop,fvset,5
jop,carryforward,5
jop,postclose,5
jop,mvdecode,5
jop,screeplot,5
jop,xtsum,5
jop,svy:prop,5
jop,separate,4
jop,univar,4
jop,postfile,4
jop,center,4
jop,gettoken,4
jop,WMEANEFFECTS,4
jop,nbreg,4
jop,meologit,4
jop,imb,4
jop,cem,4
jop,graph_amce,4
jop,getest,4
jop,xttab,4
jop,pause,4
jop,make_index,4
jop,unab,4
jop,qby,3
jop,serrbar,3
jop,heckprobit,3
jop,cumul,3
jop,graph2tex,3
jop,exit,3
jop,corr_svy,3
jop,btscs,3
jop,ssc,3
jop,kdensity,3
jop,rescale,3
jop,plausexog,3
jop,mvencode,3
jop,tsline,3
jop,matprep,3
jop,gcreate,3
jop,findit,3
jop,sts,3
jop,stcurve,3
jop,mata,3
jop,irtgraph,2
jop,collin,2
jop,zoib,2
jop,contrast,2
jop,inspect,2
jop,Russia,2
jop,South,2
jop,ac,2
jop,pac,2
