journal,year,command,num_datasets
JPublicPolicy,2016,regress,2
JPublicPolicy,2016,xtpcse,2
JPublicPolicy,2016,xtreg,1
JPublicPolicy,2017,logit,1
JPublicPolicy,2017,meologit,1
JPublicPolicy,2017,newey,1
JPublicPolicy,2017,reghdfe,1
JPublicPolicy,2017,regress,2
JPublicPolicy,2017,xtnbreg,1
JPublicPolicy,2017,xtpcse,1
JPublicPolicy,2017,xtregar,1
JPublicPolicy,2018,gnbreg,1
JPublicPolicy,2018,gologit2,1
JPublicPolicy,2018,heckman,1
JPublicPolicy,2018,logit,4
JPublicPolicy,2018,meologit,2
JPublicPolicy,2018,mlogit,1
JPublicPolicy,2018,nbreg,2
JPublicPolicy,2018,ologit,3
JPublicPolicy,2018,oprobit,1
JPublicPolicy,2018,poisson,1
JPublicPolicy,2018,probit,1
JPublicPolicy,2018,regress,9
JPublicPolicy,2018,tobit,1
JPublicPolicy,2018,xtgls,1
JPublicPolicy,2018,xtpcse,1
JPublicPolicy,2018,xtprobit,1
JPublicPolicy,2018,xtreg,7
JPublicPolicy,2019,anova,1
JPublicPolicy,2019,estsimp,1
JPublicPolicy,2019,gnbreg,1
JPublicPolicy,2019,logit,1
JPublicPolicy,2019,nbreg,1
JPublicPolicy,2019,ologit,1
JPublicPolicy,2019,poisson,1
JPublicPolicy,2019,regress,1
PSRM,2013,heckman,1
PSRM,2013,ml,1
PSRM,2013,oprob,1
PSRM,2013,outreg,2
PSRM,2013,regress,3
PSRM,2013,tobit,1
PSRM,2013,xtreg,1
PSRM,2014,anova,1
PSRM,2014,areg,1
PSRM,2014,impute,1
PSRM,2014,logit,1
PSRM,2014,probit,1
PSRM,2014,regress,3
PSRM,2014,tobit,1
PSRM,2014,xtpcse,1
PSRM,2014,xtreg,1
PSRM,2015,areg,1
PSRM,2015,biprobit,2
PSRM,2015,bootstrap:regress,1
PSRM,2015,bootstrap:xtreg,1
PSRM,2015,clogit,2
PSRM,2015,estsimp,1
PSRM,2015,glm,1
PSRM,2015,ivregress,3
PSRM,2015,logit,6
PSRM,2015,ml,1
PSRM,2015,mlogit,1
PSRM,2015,nbreg,2
PSRM,2015,ologit,1
PSRM,2015,oprobit,1
PSRM,2015,poisson,1
PSRM,2015,probit,1
PSRM,2015,regress,16
PSRM,2015,stcox,1
PSRM,2015,streg,1
PSRM,2015,svy:logit,1
PSRM,2015,svy:mlogit,1
PSRM,2015,svy:regress,1
PSRM,2015,xtreg,1
PSRM,2015,zinb,1
PSRM,2016,areg,5
PSRM,2016,btscs,1
PSRM,2016,clogit,1
PSRM,2016,estsimp,5
PSRM,2016,gllamm,1
PSRM,2016,heckman,1
PSRM,2016,heckprobit,1
PSRM,2016,impute,1
PSRM,2016,intreg,1
PSRM,2016,ivreg,1
PSRM,2016,ivregress,3
PSRM,2016,logit,12
PSRM,2016,melogit,1
PSRM,2016,meologit,1
PSRM,2016,meqrlogit,1
PSRM,2016,mixed,1
PSRM,2016,mixlogit,1
PSRM,2016,ml,2
PSRM,2016,mlogit,5
PSRM,2016,nbreg,2
PSRM,2016,ologit,3
PSRM,2016,oprob,1
PSRM,2016,oprobit,2
PSRM,2016,outreg,1
PSRM,2016,probit,4
PSRM,2016,rd,1
PSRM,2016,regress,24
PSRM,2016,relogit,1
PSRM,2016,rreg,1
PSRM,2016,svy:logit,1
