journal,year,command,count
polbehavior,2018,probit,15
polbehavior,2019,probit,15
polbehavior,2018,anova,14
polbehavior,2016,areg,14
polbehavior,2017,ologit,14
polbehavior,2018,mixed,13
polbehavior,2019,melogit,13
polbehavior,2018,svy:regress,12
polbehavior,2017,xtreg,12
polbehavior,2017,tobit,12
polbehavior,2018,melogit,9
polbehavior,2016,probit,9
polbehavior,2016,svy:regress,9
polbehavior,2015,probit,8
polbehavior,2018,gsem,8
polbehavior,2016,svy:ologit,8
polbehavior,2016,svy:logit,8
polbehavior,2015,logit,7
polbehavior,2018,meologit,7
polbehavior,2018,tobit,7
polbehavior,2019,oprob,7
polbehavior,2015,oprobit,6
polbehavior,2018,meqrpoisson,6
polbehavior,2018,areg,6
polbehavior,2019,meologit,6
polbehavior,2019,svy:sem,6
polbehavior,2019,stcox,6
polbehavior,2016,ivregress,6
polbehavior,2017,mixed,6
polbehavior,2017,areg,6
polbehavior,2017,mlogit,5
polbehavior,2015,xtlogit,4
polbehavior,2015,xtreg,4
polbehavior,2018,sem,4
polbehavior,2018,poisson,4
polbehavior,2018,relogit,4
polbehavior,2019,ivreg2,4
polbehavior,2019,poisson,4
polbehavior,2016,mlogit,4
polbehavior,2016,glm,4
polbehavior,2015,svy:regress,3
polbehavior,2018,svy:mprobit,3
polbehavior,2016,svy:probit,3
polbehavior,2015,mlogit,2
polbehavior,2018,xtmelogit,2
polbehavior,2018,clogit,2
polbehavior,2018,mprobit,2
polbehavior,2018,svy:ologit,2
polbehavior,2018,logistic,2
polbehavior,2019,mlogit,2
polbehavior,2016,oprobit,2
polbehavior,2016,estsimp,2
polbehavior,2016,xtmixed,2
polbehavior,2017,melogit,2
polbehavior,2017,menbreg,2
polbehavior,2015,sureg,1
polbehavior,2018,ivregress,1
polbehavior,2018,nbreg,1
polbehavior,2018,menbreg,1
polbehavior,2018,xtnbreg,1
polbehavior,2019,nbreg,1
polbehavior,2019,bootstrap:xtlogit,1
polbehavior,2019,bootstrap:xtnbreg,1
polbehavior,2016,xtreg,1
polbehavior,2017,anova,1
polbehavior,2017,meologit,1
ajps,2015,regress,1765
ajps,2018,regress,506
ajps,2017,regress,431
ajps,2019,xtreg,379
ajps,2015,logit,295
ajps,2015,xtreg,261
ajps,2016,regress,243
ajps,2016,logit,237
ajps,2015,mlogit,231
ajps,2016,dprobit,200
ajps,2017,ml,199
ajps,2018,xtreg,198
ajps,2015,ologit,161
ajps,2019,regress,148
ajps,2015,svy:regress,125
ajps,2016,nl,113
ajps,2015,probit,112
ajps,2016,ivreg2,103
ajps,2015,xtlogit,100
ajps,2015,areg,96
ajps,2015,nbreg,93
ajps,2015,ivreg2,84
ajps,2019,xtregar,84
ajps,2018,logit,78
ajps,2015,streg,76
ajps,2014,svy:regress,75
ajps,2015,edvreg,72
ajps,2018,xtlogit,61
ajps,2019,xtivreg2,60
ajps,2015,estsimp,59
ajps,2015,nestreg:logit,54
ajps,2015,gologit2,52
ajps,2015,xtabond2,51
ajps,2015,xtpcse,50
ajps,2015,gllamm,49
ajps,2016,relogitll,49
ajps,2016,relogit,47
ajps,2019,probit,46
ajps,2016,probit,45
ajps,2017,svy:regress,45
ajps,2015,tobit,44
ajps,2015,bootstrap:cmp,43
ajps,2017,logit,43
ajps,2017,reghdfe,39
ajps,2015,mprobit,37
ajps,2017,xtmixed,37
ajps,2015,sureg,36
ajps,2018,stcox,35
ajps,2015,xtmelogit,33
ajps,2018,svy:logit,33
ajps,2018,mixed,31
ajps,2015,nestreg:mlogit,29
ajps,2016,logistic,28
ajps,2017,xtreg,28
ajps,2016,ologit,27
ajps,2015,psmatch2,26
ajps,2015,xtmixed,25
ajps,2015,biprobit,24
ajps,2015,ivregress,23
ajps,2018,probit,23
ajps,2018,oprobit,22
ajps,2017,glm,21
ajps,2017,sureg,21
ajps,2017,clogit,21
ajps,2015,oprobit,20
ajps,2015,omodel,20
ajps,2018,melogit,20
ajps,2015,btscs,19
ajps,2019,melogit,18
ajps,2018,mlogit,17
ajps,2017,ologit,17
ajps,2015,nestreg:regress,16
ajps,2018,xtmelogit,16
ajps,2018,areg,16
ajps,2018,ivreg2,16
ajps,2016,nbreg,16
ajps,2016,estsimp,16
ajps,2017,probit,15
ajps,2015,outreg,14
ajps,2015,xtabond,14
ajps,2015,svy:mlogit,14
ajps,2015,poisson,14
ajps,2015,nestreg:ologit,13
ajps,2015,xtnbreg,13
ajps,2015,xtivreg2,13
ajps,2019,logit,13
ajps,2016,varsoc,13
ajps,2015,stcox,12
ajps,2015,ivprobit,12
ajps,2015,xtregar,12
ajps,2018,xtologit,12
ajps,2018,svy:ologit,12
ajps,2017,mleval,12
ajps,2015,cmp,11
ajps,2014,xtreg,10
ajps,2015,var,10
ajps,2015,vargranger,10
ajps,2015,tlogit,10
ajps,2015,bootstrap:ivregress,8
ajps,2015,sartsel,8
ajps,2018,xttobit,8
ajps,2018,sem,8
ajps,2018,ivregress,8
ajps,2016,sem,8
ajps,2017,mlsum,8
ajps,2017,DCdensity,8
ajps,2015,qreg,7
ajps,2015,eivreg,7
ajps,2018,svy:regress,7
ajps,2019,xtmixed,7
ajps,2019,mixed,7
ajps,2016,xtmelogit,7
ajps,2016,xtmixed,7
ajps,2018,xtmixed,6
ajps,2019,ivreg2,6
ajps,2016,xtreg,6
ajps,2016,mixed,6
ajps,2017,mlogit,6
ajps,2017,oprobit,6
ajps,2017,meologit,6
ajps,2015,heckman,5
ajps,2015,two_side,5
ajps,2015,svy:oprobit,5
ajps,2019,ivregress,5
ajps,2019,oprobit,5
ajps,2016,bootstrap:indireff,5
ajps,2016,bootstrap:indireffhat,5
ajps,2017,nbreg,5
ajps,2017,estsimp,5
ajps,2014,cgmreg,4
ajps,2014,xtmixed,4
ajps,2014,regress,4
ajps,2015,ivreg,4
ajps,2015,anova,4
ajps,2015,xtivreg,4
ajps,2015,impute,4
ajps,2015,relogit,4
ajps,2015,xttobit,4
ajps,2015,xtgee,4
ajps,2015,bootstrap:regress,4
ajps,2015,xtprobit,4
ajps,2018,ologit,4
ajps,2018,meologit,4
ajps,2019,tobit,4
ajps,2019,svy:logit,4
ajps,2016,zinb,4
ajps,2016,bootstrap:mixed,4
ajps,2017,areg,4
ajps,2015,nestreg:oprobit,3
ajps,2015,DCdensity,3
ajps,2015,countfit,3
ajps,2019,xtabond2,3
ajps,2016,tobit,3
ajps,2016,sureg,3
ajps,2017,svy:probit,3
ajps,2015,zinb,2
ajps,2018,psmatch2,2
ajps,2018,rd,2
ajps,2018,rdrobust,2
ajps,2018,impute,2
ajps,2018,interflex,2
ajps,2016,rd,2
ajps,2016,xtlogit,2
ajps,2016,xtpoisson,2
ajps,2017,impute,2
ajps,2014,oprobit,1
ajps,2015,svy:logit,1
ajps,2015,svy:ologit,1
ajps,2015,xtgls,1
ajps,2015,reg3,1
ajps,2015,clogit,1
ajps,2015,rc_spline,1
ajps,2018,rollreg,1
ajps,2018,pscore,1
ajps,2018,DCdensity,1
ajps,2018,xtivreg,1
ajps,2019,impute,1
ajps,2019,svy:regress,1
ajps,2016,DCdensity,1
ajps,2016,mlogit,1
