year,command,count
2016,xtologit,5
2016,predict,5
2016,tab1,5
2016,estimates:restore,5
2016,mixed,5
2017,xtologit,5
2017,reshape,5
2017,xtoprobit,5
2017,estimates:dir,5
2017,ciplot,5
2017,format,5
2017,register,5
2017,proportion,5
2017,export,5
2015,count,4
2015,version,4
2015,exit,4
2015,pwcorr,4
2015,order,4
2015,tostring,4
2015,xtmelogit,4
2015,factor,4
2015,rotate,4
2018,do,4
2018,outsum,4
2019,sutex2,4
2019,cibar,4
2019,decode,4
2019,iskoegp,4
2019,combomarginsplot,4
2019,coefplot,4
2019,nbreg,4
2019,heckman,4
2016,fitstat,4
2016,lroc,4
2016,listcoef,4
2016,relogit,4
2016,version,4
2016,assert,4
2016,ivreg2,4
2016,alpha,4
2016,xtivreg2,4
2016,genindex,4
2016,postfile,4
2016,postclose,4
2016,svy:logit,4
2017,findit,4
2017,line,4
2017,version,4
2017,simqi,4
2017,postutil,4
2017,postfile,4
2017,post,4
2017,postclose,4
2017,sutex,4
2017,translate,4
2017,exit,4
2017,compress,4
2017,lincomest,4
2017,dsconcat,4
2017,xtline,4
2017,nlcom,4
2017,pca,4
2015,probit,3
2015,merge,3
2015,cd,3
2015,drawnorm,3
2015,tempname,3
2015,macro,3
2015,relogit,3
2015,kdensity,3
2015,pause,3
2018,bootstrap:cmp,3
2018,estimates:save,3
2018,estimates:use,3
2018,drawnorm,3
2018,xtile,3
2018,unique,3
2018,cmp,3
2018,quietly,3
2018,distinct,3
2018,gllamm,3
2018,tab1,3
2018,browse,3
2018,tabplot,3
2019,ssc,3
2019,fvset,3
2019,melogit,3
2016,estsimp,3
2016,plotfds,3
2016,macro,3
2016,mean,3
2016,xtoverid,3
2016,xtlogit,3
2016,xsize,3
2016,bsample,3
2016,format,3
2016,reshape,3
2016,svydescribe,3
2016,estimates:sto,3
2016,suest,3
2016,sencode,3
2016,estpost,3
2016,capture,3
2017,estsimp,3
2017,cgmwildboot,3
2017,clusterbs,3
2017,kdensity,3
2017,levelsof,3
2017,tobit,3
2017,sqreg,3
2017,svyset,3
2017,if,3
2017,pwcorr,3
2017,renvars,3
2017,expand,3
2017,mkmat,3
2017,emdb,3
2017,histogram,3
2017,spmap,3
2017,impute,3
2017,btscs,3
2017,estimates:drop,3
2017,combomarginsplot,3
2015,power,2
2015,lincom,2
2015,hetprob,2
2015,sureg,2
2015,relogitq,2
2015,scatter,2
2015,stcurve,2
2015,program,2
2015,calcbias,2
2015,estimates:drop,2
2015,clonevar,2
2015,reshape,2
2015,ssc,2
2018,tsset,2
2018,impute,2
2018,xtivreg,2
2018,_pctile,2
2018,return,2
2018,outsheet,2
2018,export,2
2018,matlist,2
2018,reshape,2
2018,levelsof,2
2018,estpost,2
2018,insheet,2
2018,attnd,2
2018,register,2
2018,estimates:restore,2
2018,destring,2
2018,program,2
2018,mlogit,2
2019,log,2
2019,encode,2
2019,iscoegp,2
2019,merge,2
2019,xtile,2
2019,sutex,2
2019,order,2
2019,tsset,2
2019,marginsplot,2
2019,quietly,2
2019,bootstrap:xtmixed,2
2016,ds,2
2016,encode,2
2016,describe,2
2016,legend,2
2016,tostring,2
2016,hid,2
2016,pno,2
2016,order,2
2016,rd,2
2016,expand,2
2016,eclplot,2
2016,rm,2
2016,ivregress,2
2016,end,2
2016,nicelylabelleddummies,2
2016,table,2
2016,codebook,2
2016,signrank,2
2017,dynsim,2
2017,rd,2
2017,codebook,2
2017,stats,2
2017,gsort,2
2017,grinter,2
2017,poisson,2
2017,SECTION,2
2017,stcurve,2
2017,ereturn,2
2017,sts,2
2017,eclplot,2
2017,ccode,2
2017,version:logit,2
2017,version:probit,2
2017,bspline,2
2017,encode,2
2017,arima,2
2017,rotate,2
2017,mrunning,2
2017,serrbar,2
2017,jackknife,2
2017,ivreg2,2
2017,xtfevd,2
2015,mean,1
2015,export,1
2015,outsheet,1
2015,estpost,1
2015,coefplot,1
2015,reg3,1
2015,table,1
2015,correlate,1
2015,logout,1
2015,register,1
2015,impute,1
