file,#,# reg
ajps/2E2M9Z/dcp_tt.do,33,4
ajps/2E2M9Z/dcp_rundir.do,20,0
ajps/2E2M9Z/dcp_baltabs.do,55,0
ajps/2E2M9Z/dcp_bootstraps.do,457,10
ajps/24591/replication_dofile_final_AEST.do,171,58
ajps/25540/Kasara and Suryanarayan 2014 Replication do file.do,292,8
ajps/29591/code3.do,43,0
ajps/29591/code5.do,37,2
ajps/29591/code1.do,73,12
ajps/29591/code2.do,16,2
ajps/4FCVUR/3_postamelia50s.do,257,0
ajps/4FCVUR/3_postamelia00s.do,248,0
ajps/4FCVUR/1_preameliacreate00s.do,580,0
ajps/4FCVUR/1_preameliacreate70s.do,735,0
ajps/4FCVUR/1_preameliacreate50s.do,488,0
ajps/4FCVUR/1_preameliacreate90s.do,771,0
ajps/25615/Figure 1.do,14,0
ajps/25615/Figure 4.do,29,0
ajps/25615/Appendix Table 3.do,75,6
ajps/25615/dps_Figure_6_Table_6online.do,149,3
ajps/21961/gilligan_etal_nepal_soccoh_rep.do,234,83
ajps/QO6EMT/Appendix E.do,261,0
ajps/QO6EMT/Appendix B.do,28,0
ajps/QO6EMT/Appendix D.do,359,0
ajps/QO6EMT/Analyses.do,279,0
ajps/QO6EMT/Appendix C.do,257,0
ajps/QO6EMT/Appendix A.do,16,0
ajps/18077/AJPSReplication.do,146,28
ajps/22157/Partisans_In_Robes_Replication.do,96,0
ajps/18628/genData.do,41,0
ajps/18628/Model1.do,5,0
ajps/22976/polychoric in stata.do,18,0
ajps/19966/Kam Zechmeister replication syntax and datasets/2012-12-27 Kam Zechmeister replication syntax.do,176,12
ajps/TR4OUK/Appendix Charts 1 and 2.do,58,0
ajps/22346/Mason Cumulative ANES tables and figures.do,87,13
ajps/22346/Coding ANES 92-94-96 Panel rep_1.do,454,0
ajps/22346/Coding cumulative ANES.do,221,0
ajps/22346/Mason ANES 92_96 Panel Figure 7.do,17,0
ajps/22174/Arriola_Johnson_AJPS.do,125,7
ajps/26936/ANES_identify_teachers.do,217,0
ajps/26936/Flavin_Hartney_AJPS_replication.do,59,1
ajps/27718/ReplicationMaterials_103014/ReplicationMaterials/appendix/Catalist_Appendix_Analysis.do,980,0
ajps/27718/ReplicationMaterials_103014/ReplicationMaterials/Catalist_Analysis.do,578,8
ajps/1HOVTU/AJPSReplicationIdentifiable.do,514,0
ajps/1HOVTU/AJPSReplicationBlind.do,286,0
ajps/TMTCZD/code_generate_data_tscs.do,353,0
ajps/TMTCZD/code_analyis_tscs.do,108,44
ajps/TMTCZD/code_table9_S4.do,8,2
ajps/GKASQ5/WHC_replication.do,151,4
ajps/KUWA5X/CalculateAPRE.do,399,0
ajps/21380/Figure1.do,113,0
ajps/21380/ANES_ReplicationFile.do,138,0
ajps/22087/AJPS36207_regressions.do,81,18
ajps/22087/AJPS36207_(non)parametric.do,23,0
ajps/22087/AJPS36207_graphs.do,25,0
ajps/26867/nyhan-reifler-field-replication/Nyhan Reifler field experiment replication/nyhan-reifler-fe-replication.do,107,6
ajps/27512/Ukraine AJPS replication.do,372,33
ajps/20669/supreme court mood replication do.do,37,6
ajps/QUHIIE/GfKclean.do,72,0
ajps/QUHIIE/mturka_clean.do,68,0
ajps/QUHIIE/deliberate_clean.do,88,0
ajps/QUHIIE/analyses-si.do,348,26
ajps/QUHIIE/analyses.do,54,7
ajps/KYI9AR/figure2&3.do,17,0
ajps/KYI9AR/tables2&3&4.do,21,0
ajps/23958/fromarticlestodata.do,19,0
ajps/22423/SCREENER - REPLICATION FOR TABLES.do,185,10
ajps/22423/figure3.do,22,0
ajps/W2HZSO/Flavin_Hartney_AJPS_replication_CA_teacher_salary_raw_data.do,12,0
ajps/W2HZSO/Flavin_Hartney_AJPS_replication_board_member_survey.do,37,5
ajps/W2HZSO/Flavin_Hartney_AJPS_replication_CA_election_raw_data.do,1661,0
ajps/W2HZSO/Flavin_Hartney_AJPS_replication_CA_student_achievement_raw_data.do,28,0
ajps/W2HZSO/Flavin_Hartney_AJPS_replication_PDK_survey.do,19,0
