year,command,count
2018,mvdecode,9
2018,args,9
2018,estimates:clear,9
2007,btscs,9
2008,replace,9
2019,graph,9
2019,zinb,9
2019,forvalues,9
2017,tempfile,9
2018,title,8
2018,xtabond2,8
2018,matlist,8
2018,estimates:restore,8
2018,xtmelogit,8
2018,xtfevd,8
2018,vif,8
2018,_diparm,8
2018,ci,8
2018,ftmp1,8
2018,mframe,8
2018,type,8
2018,axes,8
2018,ylim,8
2018,points,8
2018,col,8
2018,myMH,8
2018,all,8
2018,covars,8
2018,rowSums,8
2018,myMH4,8
2018,icv,8
2018,mdist,8
2018,t0,8
2018,elig,8
2018,x,8
2018,m,8
2018,mhmatch,8
2018,k,8
2018,dd,8
2018,countf,8
2018,wts,8
2018,mout,8
2018,bad,8
2018,dropme,8
2018,cdat,8
2018,mlist1,8
2018,mlist2,8
2018,sureg,8
2007,tsset,8
2007,log,8
2008,local,8
2008,logdummy,8
2008,logit,8
2019,insheet,8
2019,sort,8
2017,pre,8
2017,insheet,8
2017,end,8
2017,do,8
2017,margeffect,8
2017,uniteffx,8
2018,mimpacts_slopewatsca,7
2018,mimpacts_trd1imf,7
2018,pstest,7
2018,lroc,7
2009,estsimp,7
2007,xtgee,7
2008,twoway,7
2008,tabulate,7
2019,preserve,7
2019,restore,7
2019,tsset,7
2017,clogit,7
2017,ologit,7
2017,reshape,7
2017,histogram,7
2017,saveold,7
2017,sts,7
2017,hetprobit,7
2018,se,6
2018,nonotes,6
2018,codebook,6
2018,lpoly,6
2018,tw,6
2018,powerreg,6
2018,nlcom,6
2018,mimpacts_trd1un,6
2018,regfitcoeff,6
2018,hetprob,6
2018,combomarginsplot,6
2018,import,6
2018,psmatch2,6
2018,describe,6
2018,xtmixed,6
2018,factor,6
2018,rotate,6
2018,collin,6
2018,alpha,6
2018,dursel,6
2018,l2llntradenew,6
2009,xtpcse,6
2007,xtnbreg,6
2008,log,6
2008,correlate,6
2008,display,6
2008,stphtest,6
2019,estsimp,6
2017,mlogit,6
2017,xtivreg,6
2017,lrtest,6
2017,heckprobit,6
2017,teffects,6
2017,levelsof,6
2018,xlabel,5
2018,legend,5
2018,outsheet,5
2018,sysdir,5
2018,sutex,5
2018,rologit,5
2018,split,5
2018,clogit,5
2018,midisp,5
2018,using,5
2018,posthead,5
2018,starlevels,5
2018,prefoot,5
2018,stardetach,5
2018,wrap,5
2018,This,5
2018,meoprobit,5
2009,generate,5
2009,stset,5
2009,stcox,5
2007,estsimp,5
2007,xtlogit,5
2007,heckprob,5
2019,twoway,5
2017,tabstat,5
2017,sem,5
2017,estimates:sto,5
2017,uniteffxP,5
2017,ivreg2,5
2018,zinb,4
2018,centile,4
2018,cem,4
2018,summary,4
2018,format,4
2018,o,4
2018,graphregion,4
2018,ytitle,4
2018,xtitle,4
2018,grc1leg,4
2018,macro,4
2018,mimpacts_trd2un,4
2018,qvf,4
2018,bootstrap:surv3,4
2018,else,4
2018,estadd,4
2018,ivprobit,4
2018,bootstrap:ologit,4
2018,stci,4
2018,regeffectsize,4
2018,xtunitroot,4
2018,xtserial,4
2018,lrtest,4
2018,ereturn,4
2018,olog,4
2018,beep,4
2018,mchange,4
2018,trade,4
2018,fdi,4
2018,data,4
2018,formula,4
2018,dmatrix,4
2018,colnames,4
2018,trtunit,4
2018,keepme,4
2018,gettoken,4
2018,mm,4
2009,oprobit,4
2009,twoway,4
2009,mlogit,4
2007,Table,4
2007,notes,4
2007,describe,4
2008,while,4
2008,xtregar,4
2019,heckman,4
2019,compress,4
2019,estpost,4
2017,discard,4
2017,iis,4
2017,tis,4
2017,assert,4
2017,scatter,4
2017,encode,4
2017,renvars,4
2017,order,4
2017,areg,4
2017,xtnbreg,4
2017,relogit,4
2017,nlcom,4
2017,avplot,4
2017,lincomest,4
2017,parmest,4
2017,estpost,4
2017,svmat,4
2018,name,3
2018,net,3
2018,Online,3
2018,prchange,3
2018,capture,3
2018,suest,3
2018,oneway,3
2018,xttest0,3
2018,proportion,3
