year,command,count
2013,restore,9
2016,alpha,9
2016,svy:prop,9
2016,tempvar,9
2016,tempname,9
2016,xtprobit,9
2016,ssc,9
2016,encode,9
2016,gllamm,9
2016,Ordered,9
2016,kdensity,9
2017,postutil,9
2017,postfile,9
2017,post,9
2017,postclose,9
2014,ttest,8
2014,sample,8
2014,estimates:store,8
2015,scatter,8
2015,ivregress,8
2015,mysynth1,8
2015,count,8
2018,destring,8
2018,stcox,8
2018,format,8
2018,cortesti,8
2018,assert,8
2018,compress,8
2018,args,8
2018,makeltparts,8
2013,graph,8
2013,lincom,8
2019,test,8
2019,append,8
2019,tempfile,8
2019,tempvar,8
2019,_pctile,8
2019,reshape,8
2019,simqoi,8
2016,svy:mean,8
2016,destring,8
2016,insheet,8
2016,clogit,8
2016,import,8
2016,majority,8
2016,xttobit,8
2016,spmap,8
2016,scatter,8
2017,paneldynsimpieinter,8
2017,tabout,8
2017,outsum,8
2017,while,8
2017,tempname,8
2014,twoway,7
2014,runmlwin,7
2015,args,7
2015,syntax,7
2015,rocreg,7
2018,mlogit,7
2018,estout,7
2018,order,7
2018,count,7
2013,set,7
2013,save,7
2013,file,7
2019,estimates:sto,7
2019,encode,7
2019,xtsum,7
2019,histogram,7
2016,else,7
2016,outsheet,7
2016,order,7
2016,tabstat,7
2016,spatwmat,7
2016,spatgsa,7
2016,spatdiag,7
2016,spatreg,7
2017,tempfile,7
2017,tabulate,7
2017,histogram,7
2017,quietly,7
2017,list,7
2014,marginsplot,6
2014,global,6
2015,legend,6
2015,estimates:save,6
2015,mlogit,6
2015,svy:mlogit,6
2018,import,6
2018,tempfile,6
2018,latexfigure,6
2018,mktab,6
2018,firthlogit,6
2018,real,6
2018,ivreg2,6
2018,cumul,6
2018,tabstat,6
2018,putdocx,6
2013,estout,6
2013,collapse,6
2013,svy:mean,6
2019,vif,6
2019,duplicates,6
2019,ssc,6
2016,quietly,6
2016,mfx,6
2016,xtgls,6
2016,fitstat,6
2016,table,6
2016,sutex,6
2016,educ_dj3,6
2016,Quantity,6
2016,grinter,6
2016,ciplot,6
2016,input,6
2017,tsline,6
2017,forv,6
2017,ereturn,6
2017,clustse,6
2017,estpost,6
2014,alpha,5
2014,keep,5
2015,joinby,5
2015,list,5
2015,svy:regress,5
2015,compress,5
2015,saveold,5
2015,mvtest,5
2018,display,5
2018,erase,5
2018,char,5
2018,nwgexport,5
2018,gologit2,5
2018,mvdecode,5
2018,for,5
2018,winsor,5
2018,mgen,5
2013,wordfreqj,5
2013,setref,5
2013,describetext,5
2013,wordscore,5
2013,textscore,5
2013,forvalues,5
2013,mean,5
2019,postsim,5
2016,syntax,5
2016,post,5
2016,expand,5
2016,latabstat,5
2016,saveold,5
2016,lparty,5
2016,Average,5
2016,Model,5
2016,Expression,5
2016,dy,5
2016,_at,5
2016,Note,5
2016,relogit,5
2017,file,5
2017,saveold,5
2017,ssc,5
2017,ologit,5
2017,do,5
2017,testparm,5
2017,fprank,5
2014,recode,4
2014,prtesti,4
2014,bitesti,4
2015,aorder,4
2015,stset,4
2015,estout,4
2015,order,4
2015,ereturn,4
2015,simulate,4
2015,grc1leg,4
2015,bootstrap:regress,4
2015,bootstrap:xtreg,4
2015,svyset,4
2015,duplicates,4
2015,tsline,4
2015,ologit,4
2015,xtitle,4
2018,separate,4
2018,cd,4
2018,alpha,4
2018,anova,4
2018,XX,4
2018,histogram,4
2018,version,4
2013,merge,4
2013,spmap,4
2013,sort,4
2013,svyset,4
2013,tobit,4
2019,order,4
2019,decode,4
2019,cd,4
2019,rdrobust,4
2016,append,4
2016,triplot,4
2016,signrank,4
2016,ksmirnov,4
2016,swilk,4
2016,_simp,4
2016,count,4
2016,macro,4
2016,fancyFIX,4
2016,drawnorm,4
2016,zinb,4
2016,teffects,4
2016,stripplot,4
2016,tsline,4
2016,educ_dj,4
2016,majsize,4
2016,lparty2,4
2016,minsize,4
2016,immigrant,4
2016,ecdifxx,4
2016,gw_mon,4
2016,gw_mil,4
2016,gw_part,4
2016,gw_pers,4
2016,gw_mil_part,4
2016,gw_mil_pers,4
2016,gw_part_pers,4
2016,leduc_dj3,4
2016,growth1,4
2016,logchange,4
2016,purges,4
2016,leadershipchanges,4
2016,year,4
2016,resources,4
2016,civiliandictator,4
2016,militarydictator,4
2017,scatter,4
2017,estout,4
2017,xtologit,4
2017,xtgls,4
2017,spmap,4
2017,duplicates,4
2017,pwcorr,4
2017,xtregar,4
2017,return,4
2017,clusterbs,4
2017,statsby,4
2014,codebook,3
2014,collapse,3
2014,append,3
2015,do,3
2015,prchange,3
2015,kdensity,3
2015,mata,3
2015,contract,3
2015,micalc,3
2015,mkdyads,3
2015,scompute,3
2015,format,3
2015,clogit,3
2015,estimates:drop,3
2015,lroc,3
2015,svy:logit,3
